30-Dec-21 12:07:46 - INFO - Trying to scrape: Jenseits von Atomausstieg und Ehe für alle: Merkels schwarzes Erbe
30-Dec-21 12:07:46 - INFO - Trying to scrape: A Virologist Discusses the New Variant: "In the Coming Weeks, We’ll Know How Well Vaccines Protect Against Omicron"
30-Dec-21 12:07:46 - INFO - Trying to scrape: »Wellenbrecher« ist Wort des Jahres: Labergeschichtlich eine Spitzenwahl!
30-Dec-21 12:07:46 - INFO - Trying to scrape: Die Lage am Abend: Werden Sie zum Wellenbrecher!
30-Dec-21 12:07:46 - INFO - Trying to scrape: Deutsch-polnischer »Polizeiruf«: Ist der Immobilienhai die KZ-Dogge von heute?
30-Dec-21 12:07:46 - INFO - Trying to scrape: Spitzenpersonal: Zu wenige Ostdeutsche in Regierung – Linke kritisiert Ampel
30-Dec-21 12:07:46 - INFO - Trying to scrape: Researchers on the Omicron Variant: "We Are Playing with Fire"
30-Dec-21 12:07:46 - INFO - Trying to scrape: Illegale Pushbacks: Kroatischer Präsident Milanović beleidigt Kontrolleure als »Schädlinge«
30-Dec-21 12:07:46 - INFO - Trying to scrape: Nach drittem Wahlgang: Florian Hager wird neuer Intendant des Hessischen Rundfunks
30-Dec-21 12:07:46 - INFO - Trying to scrape: KI-Kunst: Diese App verschmilzt Taylor Swift mit einem Weihnachtsbaum
30-Dec-21 12:07:46 - INFO - Trying to scrape: Umkehr der Migration: Warum so viele Haitianer aus Chile wegwollen
30-Dec-21 12:07:46 - INFO - Trying to scrape: Mangel an Arbeitskräften: US-Wirtschaft schafft deutlich weniger Stellen als erwartet
30-Dec-21 12:07:46 - INFO - Trying to scrape: Stimmen zum Tod des Weltmeisters von 1954: »Der Mensch Horst Eckel war in jeder Hinsicht ein Vorbild für mich«
30-Dec-21 12:07:46 - INFO - Trying to scrape: Vor Parteitag: SPD-Vorstand nominiert Kühnert einstimmig als neuen Generalsekretär
30-Dec-21 12:07:46 - INFO - Trying to scrape: Vorläufige Studie: Risiko erneuter Ansteckung ist bei Omikron-Variante deutlich erhöht
30-Dec-21 12:07:46 - INFO - Trying to scrape: Innenministerkonferenz: Polizei soll sich auf Kampf gegen Corona-Regelbrecher konzentrieren
30-Dec-21 12:07:46 - INFO - Trying to scrape: Lösung für das Methan-Problem?: Männer, die mit Blitzen auf Kuhmist schießen
30-Dec-21 12:07:46 - INFO - Trying to scrape: Fußballquiz: Chomeini, Hussein, al-Gaddafi – wessen Sohn spielte in der Serie A?
30-Dec-21 12:07:46 - INFO - Trying to scrape: Zum Tod von Horst Eckel: Der letzte Weltmeister von Bern
30-Dec-21 12:07:46 - INFO - Trying to scrape: Früherer Corona-Hotspot: Ischgl startet Skisaison im Lockdown
30-Dec-21 12:07:46 - INFO - Trying to scrape: Sarah Engels über Geburt ihrer Tochter: »Voller Glück und Stolz«
