keyword_name,ADF_Statistics_wiki,ADF_p_value_wiki,ADF_critical_values_wiki,ADF_Statistics_news,ADF_p_value_news,ADF_critical_values_news,ssr_ftest_pValue_lag1,ssr_ftest_pValue_lag2,ssr_ftest_pValue_lag3,ssr_ftest_pValue_lag4,ssr_ftest_pValue_lag5,ssr_ftest_pValue_lag6,ssr_ftest_pValue_lag7
Bürgermeister,-1.539253929168229,0.5140113996505707,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-2.1089293977724335,0.24093923835373177,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.7036,0.3465,0.4492,0.5557,0.7477,0.8208,0.0016
Champions,-10.456622116943397,1.3932819574301457e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.322540535615094,2.9829982613410533e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7634,0.9417,0.9471,0.6375,0.7221,0.6935,0.8111
Chance,-2.422248635749656,0.13555510245711955,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-9.742959470549295,8.400196905154546e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8508,0.0045,0.0047,0.007,0.0116,0.0208,0.0256
Chef,-9.698268541118573,1.0894871572219617e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.4861928085255247,0.11887000832717803,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",0.7957,0.7671,0.8293,0.9124,0.9325,0.8895,0.886
Chelsea,-4.248146680619655,0.0005455879002133004,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-9.03868655773996,5.204408496316423e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8376,0.9412,0.1585,0.3417,0.5444,0.6324,0.6956
Chemnitz,-5.366843682776883,3.974876099200542e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-4.684599646653876,8.994083304131958e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.1033,0.1476,0.3531,0.3329,0.3243,0.2821,0.4101
China,-2.4930154306336862,0.11718300826222988,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-10.070867028339178,1.2600387887614385e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.161,0.3789,0.5315,0.5227,0.4986,0.538,0.4196
Christian,-7.399563033730735,7.618294257501873e-11,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.413563369148305,7.15246642392885e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.6939,0.9157,0.131,0.2322,0.3643,0.2713,0.4149
City,-6.624272486927036,5.9302247777272965e-09,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.041866592814728,1.4889621695998056e-17,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.8487,0.3616,0.0209,0.0395,0.0329,0.0132,0.0278
Coach,-2.221775209569933,0.19843744139610886,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-1.6870815353043933,0.4377804481274688,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.8204,0.7,0.0712,0.1779,0.2732,0.1909,0.2234
